orgunitlevel1,orgunitlevel2,orgunitlevel3,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,periodid,periodname,periodcode,perioddescription,EPI - DPT-HepB-HIB 1 doses given <1 year,EPI - DPT-HepB-HIB 3 doses given <1 year,105-EP11. Yellow Fever,EPI - MR 1 doses given <1 year,EPI - Measles 2 (MR2) doses_1-4 yrs,HMIS 105Bc: CL 29: Rota Virus 3,EPI - HPV1 doses given
MOH - Uganda,Acholi,Agago District,ztIyIYAzFKp,Agago District,,,202401,January 2024,202401,,978.0,988.0,0.0,912.0,89.0,0.0,256
MOH - Uganda,Acholi,Agago District,ztIyIYAzFKp,Agago District,,,202402,February 2024,202402,,1047.0,1026.0,0.0,960.0,79.0,29.0,294
MOH - Uganda,Acholi,Agago District,ztIyIYAzFKp,Agago District,,,202403,March 2024,202403,,1042.0,1128.0,0.0,1140.0,206.0,158.0,359
MOH - Uganda,Acholi,Agago District,ztIyIYAzFKp,Agago District,,,202404,April 2024,202404,,993.0,1144.0,0.0,1179.0,185.0,206.0,2226
MOH - Uganda,Acholi,Agago District,ztIyIYAzFKp,Agago District,,,202405,May 2024,202405,,961.0,1028.0,0.0,1040.0,223.0,314.0,321
MOH - Uganda,Acholi,Agago District,ztIyIYAzFKp,Agago District,,,202406,June 2024,202406,,1057.0,932.0,0.0,1207.0,296.0,241.0,651
MOH - Uganda,Acholi,Agago District,ztIyIYAzFKp,Agago District,,,202407,July 2024,202407,,994.0,966.0,1.0,1213.0,276.0,447.0,394
MOH - Uganda,Acholi,Agago District,ztIyIYAzFKp,Agago District,,,202408,August 2024,202408,,999.0,961.0,0.0,1175.0,267.0,413.0,307
MOH - Uganda,Acholi,Amuru District,C0RSe3EWBqU,Amuru District,,,202401,January 2024,202401,,959.0,774.0,0.0,703.0,65.0,0.0,59
MOH - Uganda,Acholi,Amuru District,C0RSe3EWBqU,Amuru District,,,202402,February 2024,202402,,939.0,803.0,0.0,742.0,49.0,0.0,137
MOH - Uganda,Acholi,Amuru District,C0RSe3EWBqU,Amuru District,,,202403,March 2024,202403,,883.0,885.0,0.0,881.0,1760.0,33.0,210
MOH - Uganda,Acholi,Amuru District,C0RSe3EWBqU,Amuru District,,,202404,April 2024,202404,,1098.0,1124.0,0.0,935.0,144.0,99.0,3234
MOH - Uganda,Acholi,Amuru District,C0RSe3EWBqU,Amuru District,,,202405,May 2024,202405,,915.0,870.0,0.0,628.0,56.0,59.0,21
MOH - Uganda,Acholi,Amuru District,C0RSe3EWBqU,Amuru District,,,202406,June 2024,202406,,908.0,925.0,0.0,1213.0,4374.0,35.0,259
MOH - Uganda,Acholi,Amuru District,C0RSe3EWBqU,Amuru District,,,202407,July 2024,202407,,897.0,757.0,0.0,776.0,78.0,65.0,188
MOH - Uganda,Acholi,Amuru District,C0RSe3EWBqU,Amuru District,,,202408,August 2024,202408,,1007.0,904.0,0.0,746.0,128.0,61.0,70
MOH - Uganda,Acholi,Gulu City,szlrGpmFlu9,Gulu City,,,202401,January 2024,202401,,979.0,883.0,0.0,1025.0,141.0,0.0,58
MOH - Uganda,Acholi,Gulu City,szlrGpmFlu9,Gulu City,,,202402,February 2024,202402,,811.0,686.0,0.0,754.0,167.0,3.0,76
MOH - Uganda,Acholi,Gulu City,szlrGpmFlu9,Gulu City,,,202403,March 2024,202403,,782.0,888.0,0.0,805.0,216.0,82.0,22
MOH - Uganda,Acholi,Gulu City,szlrGpmFlu9,Gulu City,,,202404,April 2024,202404,,806.0,866.0,0.0,826.0,217.0,78.0,2704
MOH - Uganda,Acholi,Gulu City,szlrGpmFlu9,Gulu City,,,202405,May 2024,202405,,881.0,847.0,0.0,877.0,290.0,78.0,94
MOH - Uganda,Acholi,Gulu City,szlrGpmFlu9,Gulu City,,,202406,June 2024,202406,,747.0,677.0,0.0,857.0,249.0,160.0,41
MOH - Uganda,Acholi,Gulu City,szlrGpmFlu9,Gulu City,,,202407,July 2024,202407,,867.0,801.0,0.0,837.0,274.0,385.0,29
MOH - Uganda,Acholi,Gulu City,szlrGpmFlu9,Gulu City,,,202408,August 2024,202408,,775.0,833.0,0.0,948.0,252.0,356.0,60
MOH - Uganda,Acholi,Gulu District,Gwk4wkLz7EW,Gulu District,,,202401,January 2024,202401,,451.0,381.0,,337.0,27.0,0.0,
MOH - Uganda,Acholi,Gulu District,Gwk4wkLz7EW,Gulu District,,,202402,February 2024,202402,,412.0,424.0,,391.0,26.0,0.0,5
MOH - Uganda,Acholi,Gulu District,Gwk4wkLz7EW,Gulu District,,,202403,March 2024,202403,,424.0,470.0,,412.0,31.0,0.0,19
MOH - Uganda,Acholi,Gulu District,Gwk4wkLz7EW,Gulu District,,,202404,April 2024,202404,,410.0,443.0,0.0,499.0,35.0,107.0,1209
MOH - Uganda,Acholi,Gulu District,Gwk4wkLz7EW,Gulu District,,,202405,May 2024,202405,,430.0,431.0,0.0,391.0,69.0,52.0,41
MOH - Uganda,Acholi,Gulu District,Gwk4wkLz7EW,Gulu District,,,202406,June 2024,202406,,489.0,431.0,0.0,453.0,126.0,61.0,12
MOH - Uganda,Acholi,Gulu District,Gwk4wkLz7EW,Gulu District,,,202407,July 2024,202407,,398.0,409.0,0.0,368.0,52.0,62.0,13
MOH - Uganda,Acholi,Gulu District,Gwk4wkLz7EW,Gulu District,,,202408,August 2024,202408,,395.0,416.0,0.0,404.0,67.0,123.0,2
MOH - Uganda,Acholi,Kitgum District,pnTVIF5v27r,Kitgum District,,,202401,January 2024,202401,,835.0,735.0,0.0,627.0,139.0,28.0,3
MOH - Uganda,Acholi,Kitgum District,pnTVIF5v27r,Kitgum District,,,202402,February 2024,202402,,750.0,627.0,0.0,573.0,140.0,10.0,19
MOH - Uganda,Acholi,Kitgum District,pnTVIF5v27r,Kitgum District,,,202403,March 2024,202403,,747.0,751.0,0.0,718.0,145.0,49.0,10
MOH - Uganda,Acholi,Kitgum District,pnTVIF5v27r,Kitgum District,,,202404,April 2024,202404,,754.0,814.0,2.0,679.0,251.0,66.0,2353
MOH - Uganda,Acholi,Kitgum District,pnTVIF5v27r,Kitgum District,,,202405,May 2024,202405,,742.0,729.0,0.0,645.0,201.0,57.0,25
MOH - Uganda,Acholi,Kitgum District,pnTVIF5v27r,Kitgum District,,,202406,June 2024,202406,,643.0,583.0,0.0,662.0,293.0,89.0,5
MOH - Uganda,Acholi,Kitgum District,pnTVIF5v27r,Kitgum District,,,202407,July 2024,202407,,804.0,659.0,0.0,718.0,281.0,188.0,16
MOH - Uganda,Acholi,Kitgum District,pnTVIF5v27r,Kitgum District,,,202408,August 2024,202408,,809.0,844.0,0.0,860.0,503.0,323.0,52
MOH - Uganda,Acholi,Lamwo District,xy0M4HhjXtD,Lamwo District,,,202401,January 2024,202401,,609.0,516.0,0.0,433.0,109.0,0.0,28
MOH - Uganda,Acholi,Lamwo District,xy0M4HhjXtD,Lamwo District,,,202402,February 2024,202402,,554.0,524.0,1.0,454.0,207.0,15.0,47
MOH - Uganda,Acholi,Lamwo District,xy0M4HhjXtD,Lamwo District,,,202403,March 2024,202403,,617.0,620.0,0.0,612.0,100.0,132.0,77
MOH - Uganda,Acholi,Lamwo District,xy0M4HhjXtD,Lamwo District,,,202404,April 2024,202404,,602.0,672.0,,511.0,211.0,128.0,1847
MOH - Uganda,Acholi,Lamwo District,xy0M4HhjXtD,Lamwo District,,,202405,May 2024,202405,,623.0,607.0,0.0,641.0,282.0,120.0,73
MOH - Uganda,Acholi,Lamwo District,xy0M4HhjXtD,Lamwo District,,,202406,June 2024,202406,,507.0,522.0,0.0,541.0,261.0,160.0,52
MOH - Uganda,Acholi,Lamwo District,xy0M4HhjXtD,Lamwo District,,,202407,July 2024,202407,,594.0,543.0,,673.0,250.0,215.0,316
MOH - Uganda,Acholi,Lamwo District,xy0M4HhjXtD,Lamwo District,,,202408,August 2024,202408,,565.0,611.0,,629.0,291.0,186.0,31
MOH - Uganda,Acholi,Nwoya District,zNgVoDVPYgD,Nwoya District,,,202401,January 2024,202401,,898.0,806.0,0.0,646.0,111.0,0.0,71
MOH - Uganda,Acholi,Nwoya District,zNgVoDVPYgD,Nwoya District,,,202402,February 2024,202402,,850.0,760.0,0.0,675.0,43.0,0.0,197
MOH - Uganda,Acholi,Nwoya District,zNgVoDVPYgD,Nwoya District,,,202403,March 2024,202403,,893.0,974.0,0.0,841.0,197.0,0.0,732
MOH - Uganda,Acholi,Nwoya District,zNgVoDVPYgD,Nwoya District,,,202404,April 2024,202404,,713.0,838.0,0.0,658.0,205.0,50.0,1864
MOH - Uganda,Acholi,Nwoya District,zNgVoDVPYgD,Nwoya District,,,202405,May 2024,202405,,872.0,767.0,0.0,713.0,337.0,55.0,199
MOH - Uganda,Acholi,Nwoya District,zNgVoDVPYgD,Nwoya District,,,202406,June 2024,202406,,1856.0,1173.0,0.0,1272.0,1242.0,28.0,393
MOH - Uganda,Acholi,Nwoya District,zNgVoDVPYgD,Nwoya District,,,202407,July 2024,202407,,768.0,721.0,0.0,549.0,269.0,164.0,31
MOH - Uganda,Acholi,Nwoya District,zNgVoDVPYgD,Nwoya District,,,202408,August 2024,202408,,880.0,1360.0,0.0,698.0,173.0,10.0,44
MOH - Uganda,Acholi,Omoro District,S5fvUXgY54J,Omoro District,,,202401,January 2024,202401,,714.0,743.0,6.0,668.0,182.0,19.0,38
MOH - Uganda,Acholi,Omoro District,S5fvUXgY54J,Omoro District,,,202402,February 2024,202402,,661.0,708.0,0.0,655.0,155.0,0.0,40
MOH - Uganda,Acholi,Omoro District,S5fvUXgY54J,Omoro District,,,202403,March 2024,202403,,786.0,799.0,1.0,644.0,254.0,70.0,323
MOH - Uganda,Acholi,Omoro District,S5fvUXgY54J,Omoro District,,,202404,April 2024,202404,,983.0,1130.0,0.0,979.0,703.0,131.0,2982
MOH - Uganda,Acholi,Omoro District,S5fvUXgY54J,Omoro District,,,202405,May 2024,202405,,690.0,765.0,0.0,631.0,233.0,76.0,57
MOH - Uganda,Acholi,Omoro District,S5fvUXgY54J,Omoro District,,,202406,June 2024,202406,,744.0,709.0,0.0,765.0,249.0,136.0,15
MOH - Uganda,Acholi,Omoro District,S5fvUXgY54J,Omoro District,,,202407,July 2024,202407,,645.0,571.0,0.0,642.0,166.0,197.0,15
MOH - Uganda,Acholi,Omoro District,S5fvUXgY54J,Omoro District,,,202408,August 2024,202408,,656.0,553.0,0.0,549.0,131.0,333.0,45
MOH - Uganda,Acholi,Pader District,aBrjuZk0W31,Pader District,,,202401,January 2024,202401,,915.0,761.0,0.0,726.0,36.0,12.0,66
MOH - Uganda,Acholi,Pader District,aBrjuZk0W31,Pader District,,,202402,February 2024,202402,,737.0,751.0,0.0,685.0,59.0,0.0,22
MOH - Uganda,Acholi,Pader District,aBrjuZk0W31,Pader District,,,202403,March 2024,202403,,801.0,861.0,0.0,786.0,46.0,113.0,105
MOH - Uganda,Acholi,Pader District,aBrjuZk0W31,Pader District,,,202404,April 2024,202404,,865.0,876.0,0.0,717.0,82.0,154.0,2800
MOH - Uganda,Acholi,Pader District,aBrjuZk0W31,Pader District,,,202405,May 2024,202405,,867.0,864.0,0.0,845.0,123.0,53.0,86
MOH - Uganda,Acholi,Pader District,aBrjuZk0W31,Pader District,,,202406,June 2024,202406,,732.0,744.0,0.0,700.0,95.0,159.0,57
MOH - Uganda,Acholi,Pader District,aBrjuZk0W31,Pader District,,,202407,July 2024,202407,,738.0,720.0,0.0,822.0,65.0,241.0,53
MOH - Uganda,Acholi,Pader District,aBrjuZk0W31,Pader District,,,202408,August 2024,202408,,670.0,663.0,3.0,764.0,53.0,388.0,91
MOH - Uganda,Ankole,Buhweju District,sWoNWQZ9qrD,Buhweju District,,,202401,January 2024,202401,,559.0,567.0,,554.0,76.0,31.0,112
MOH - Uganda,Ankole,Buhweju District,sWoNWQZ9qrD,Buhweju District,,,202402,February 2024,202402,,466.0,503.0,,514.0,152.0,0.0,92
MOH - Uganda,Ankole,Buhweju District,sWoNWQZ9qrD,Buhweju District,,,202403,March 2024,202403,,564.0,548.0,,556.0,840.0,0.0,114
MOH - Uganda,Ankole,Buhweju District,sWoNWQZ9qrD,Buhweju District,,,202404,April 2024,202404,,487.0,554.0,,538.0,194.0,0.0,1601
MOH - Uganda,Ankole,Buhweju District,sWoNWQZ9qrD,Buhweju District,,,202405,May 2024,202405,,515.0,506.0,,580.0,99.0,0.0,127
MOH - Uganda,Ankole,Buhweju District,sWoNWQZ9qrD,Buhweju District,,,202406,June 2024,202406,,589.0,517.0,,621.0,94.0,0.0,104
MOH - Uganda,Ankole,Buhweju District,sWoNWQZ9qrD,Buhweju District,,,202407,July 2024,202407,,558.0,566.0,,540.0,138.0,63.0,43
MOH - Uganda,Ankole,Buhweju District,sWoNWQZ9qrD,Buhweju District,,,202408,August 2024,202408,,603.0,641.0,,573.0,120.0,271.0,180
MOH - Uganda,Ankole,Bushenyi District,It5UGwdHAPF,Bushenyi District,,,202401,January 2024,202401,,939.0,874.0,0.0,827.0,266.0,80.0,17
MOH - Uganda,Ankole,Bushenyi District,It5UGwdHAPF,Bushenyi District,,,202402,February 2024,202402,,886.0,868.0,0.0,877.0,270.0,74.0,32
MOH - Uganda,Ankole,Bushenyi District,It5UGwdHAPF,Bushenyi District,,,202403,March 2024,202403,,897.0,877.0,0.0,833.0,312.0,60.0,73
MOH - Uganda,Ankole,Bushenyi District,It5UGwdHAPF,Bushenyi District,,,202404,April 2024,202404,,906.0,896.0,0.0,890.0,352.0,61.0,2377
MOH - Uganda,Ankole,Bushenyi District,It5UGwdHAPF,Bushenyi District,,,202405,May 2024,202405,,934.0,846.0,0.0,927.0,298.0,49.0,17
MOH - Uganda,Ankole,Bushenyi District,It5UGwdHAPF,Bushenyi District,,,202406,June 2024,202406,,933.0,859.0,0.0,894.0,277.0,71.0,13
MOH - Uganda,Ankole,Bushenyi District,It5UGwdHAPF,Bushenyi District,,,202407,July 2024,202407,,943.0,815.0,0.0,830.0,246.0,48.0,241
MOH - Uganda,Ankole,Bushenyi District,It5UGwdHAPF,Bushenyi District,,,202408,August 2024,202408,,899.0,896.0,0.0,836.0,279.0,280.0,48
MOH - Uganda,Ankole,Ibanda District,r8WLxW9JwsS,Ibanda District,,,202401,January 2024,202401,,1030.0,1007.0,,972.0,143.0,29.0,4
MOH - Uganda,Ankole,Ibanda District,r8WLxW9JwsS,Ibanda District,,,202402,February 2024,202402,,981.0,973.0,0.0,972.0,189.0,0.0,21
MOH - Uganda,Ankole,Ibanda District,r8WLxW9JwsS,Ibanda District,,,202403,March 2024,202403,,1000.0,1073.0,0.0,963.0,188.0,33.0,93
MOH - Uganda,Ankole,Ibanda District,r8WLxW9JwsS,Ibanda District,,,202404,April 2024,202404,,1231.0,1238.0,,1060.0,442.0,81.0,3858
MOH - Uganda,Ankole,Ibanda District,r8WLxW9JwsS,Ibanda District,,,202405,May 2024,202405,,1095.0,1044.0,,972.0,255.0,31.0,54
MOH - Uganda,Ankole,Ibanda District,r8WLxW9JwsS,Ibanda District,,,202406,June 2024,202406,,1088.0,1053.0,0.0,934.0,282.0,78.0,14
MOH - Uganda,Ankole,Ibanda District,r8WLxW9JwsS,Ibanda District,,,202407,July 2024,202407,,1124.0,1029.0,2.0,928.0,393.0,245.0,42
MOH - Uganda,Ankole,Ibanda District,r8WLxW9JwsS,Ibanda District,,,202408,August 2024,202408,,972.0,1057.0,0.0,878.0,408.0,298.0,5
MOH - Uganda,Ankole,Isingiro District,UaR7OHycj8c,Isingiro District,,,202401,January 2024,202401,,2199.0,2048.0,0.0,1926.0,1038.0,207.0,217
MOH - Uganda,Ankole,Isingiro District,UaR7OHycj8c,Isingiro District,,,202402,February 2024,202402,,2004.0,2156.0,0.0,1982.0,1269.0,184.0,190
MOH - Uganda,Ankole,Isingiro District,UaR7OHycj8c,Isingiro District,,,202403,March 2024,202403,,1895.0,2010.0,4.0,1823.0,860.0,42.0,175
MOH - Uganda,Ankole,Isingiro District,UaR7OHycj8c,Isingiro District,,,202404,April 2024,202404,,2157.0,2040.0,0.0,1934.0,1192.0,158.0,8941
MOH - Uganda,Ankole,Isingiro District,UaR7OHycj8c,Isingiro District,,,202405,May 2024,202405,,2490.0,2102.0,4.0,1816.0,790.0,300.0,90
MOH - Uganda,Ankole,Isingiro District,UaR7OHycj8c,Isingiro District,,,202406,June 2024,202406,,2644.0,3020.0,0.0,2619.0,2450.0,393.0,528
MOH - Uganda,Ankole,Isingiro District,UaR7OHycj8c,Isingiro District,,,202407,July 2024,202407,,2466.0,2457.0,0.0,2048.0,1101.0,599.0,150
MOH - Uganda,Ankole,Isingiro District,UaR7OHycj8c,Isingiro District,,,202408,August 2024,202408,,2237.0,2077.0,0.0,2218.0,4091.0,741.0,243
MOH - Uganda,Ankole,Kazo District,AS2Seq1grGE,Kazo District,,,202401,January 2024,202401,,756.0,774.0,,777.0,82.0,253.0,5
MOH - Uganda,Ankole,Kazo District,AS2Seq1grGE,Kazo District,,,202402,February 2024,202402,,811.0,744.0,,915.0,262.0,132.0,93
MOH - Uganda,Ankole,Kazo District,AS2Seq1grGE,Kazo District,,,202403,March 2024,202403,,826.0,813.0,,735.0,91.0,48.0,35
MOH - Uganda,Ankole,Kazo District,AS2Seq1grGE,Kazo District,,,202404,April 2024,202404,,826.0,842.0,,924.0,103.0,69.0,2951
MOH - Uganda,Ankole,Kazo District,AS2Seq1grGE,Kazo District,,,202405,May 2024,202405,,783.0,824.0,,770.0,111.0,63.0,689
MOH - Uganda,Ankole,Kazo District,AS2Seq1grGE,Kazo District,,,202406,June 2024,202406,,742.0,784.0,0.0,786.0,99.0,210.0,25
MOH - Uganda,Ankole,Kazo District,AS2Seq1grGE,Kazo District,,,202407,July 2024,202407,,898.0,852.0,4.0,929.0,143.0,165.0,50
MOH - Uganda,Ankole,Kazo District,AS2Seq1grGE,Kazo District,,,202408,August 2024,202408,,889.0,943.0,0.0,874.0,255.0,579.0,65
MOH - Uganda,Ankole,Kiruhura District,qf9xWZu7Dq8,Kiruhura District,,,202401,January 2024,202401,,920.0,876.0,0.0,881.0,109.0,,71
MOH - Uganda,Ankole,Kiruhura District,qf9xWZu7Dq8,Kiruhura District,,,202402,February 2024,202402,,866.0,797.0,,814.0,171.0,49.0,38
MOH - Uganda,Ankole,Kiruhura District,qf9xWZu7Dq8,Kiruhura District,,,202403,March 2024,202403,,776.0,888.0,0.0,836.0,132.0,0.0,89
MOH - Uganda,Ankole,Kiruhura District,qf9xWZu7Dq8,Kiruhura District,,,202404,April 2024,202404,,856.0,841.0,0.0,766.0,354.0,0.0,2049
MOH - Uganda,Ankole,Kiruhura District,qf9xWZu7Dq8,Kiruhura District,,,202405,May 2024,202405,,922.0,866.0,0.0,770.0,331.0,0.0,237
MOH - Uganda,Ankole,Kiruhura District,qf9xWZu7Dq8,Kiruhura District,,,202406,June 2024,202406,,875.0,801.0,0.0,871.0,486.0,0.0,57
MOH - Uganda,Ankole,Kiruhura District,qf9xWZu7Dq8,Kiruhura District,,,202407,July 2024,202407,,999.0,980.0,0.0,923.0,686.0,55.0,105
MOH - Uganda,Ankole,Kiruhura District,qf9xWZu7Dq8,Kiruhura District,,,202408,August 2024,202408,,964.0,875.0,0.0,904.0,772.0,135.0,48
MOH - Uganda,Ankole,Mbarara City,W7kX446X8Jn,Mbarara City,,,202401,January 2024,202401,,1154.0,1001.0,0.0,910.0,335.0,66.0,4
MOH - Uganda,Ankole,Mbarara City,W7kX446X8Jn,Mbarara City,,,202402,February 2024,202402,,925.0,1001.0,0.0,758.0,234.0,43.0,21
MOH - Uganda,Ankole,Mbarara City,W7kX446X8Jn,Mbarara City,,,202403,March 2024,202403,,898.0,923.0,0.0,760.0,250.0,0.0,8
MOH - Uganda,Ankole,Mbarara City,W7kX446X8Jn,Mbarara City,,,202404,April 2024,202404,,976.0,860.0,5.0,795.0,406.0,51.0,1743
MOH - Uganda,Ankole,Mbarara City,W7kX446X8Jn,Mbarara City,,,202405,May 2024,202405,,1070.0,973.0,1.0,914.0,291.0,237.0,30
MOH - Uganda,Ankole,Mbarara City,W7kX446X8Jn,Mbarara City,,,202406,June 2024,202406,,995.0,905.0,1.0,783.0,336.0,245.0,28
MOH - Uganda,Ankole,Mbarara City,W7kX446X8Jn,Mbarara City,,,202407,July 2024,202407,,1138.0,1018.0,2.0,879.0,277.0,659.0,89
MOH - Uganda,Ankole,Mbarara City,W7kX446X8Jn,Mbarara City,,,202408,August 2024,202408,,1028.0,950.0,0.0,772.0,318.0,545.0,33
MOH - Uganda,Ankole,Mbarara District,auswb7JO9wY,Mbarara District,,,202401,January 2024,202401,,518.0,494.0,0.0,463.0,155.0,11.0,0
MOH - Uganda,Ankole,Mbarara District,auswb7JO9wY,Mbarara District,,,202402,February 2024,202402,,450.0,476.0,9.0,406.0,118.0,58.0,1
MOH - Uganda,Ankole,Mbarara District,auswb7JO9wY,Mbarara District,,,202403,March 2024,202403,,467.0,480.0,0.0,437.0,172.0,14.0,0
MOH - Uganda,Ankole,Mbarara District,auswb7JO9wY,Mbarara District,,,202404,April 2024,202404,,511.0,507.0,0.0,472.0,147.0,133.0,1665
MOH - Uganda,Ankole,Mbarara District,auswb7JO9wY,Mbarara District,,,202405,May 2024,202405,,470.0,461.0,0.0,441.0,156.0,59.0,0
MOH - Uganda,Ankole,Mbarara District,auswb7JO9wY,Mbarara District,,,202406,June 2024,202406,,527.0,528.0,0.0,468.0,198.0,227.0,0
MOH - Uganda,Ankole,Mbarara District,auswb7JO9wY,Mbarara District,,,202407,July 2024,202407,,613.0,608.0,0.0,492.0,141.0,320.0,0
MOH - Uganda,Ankole,Mbarara District,auswb7JO9wY,Mbarara District,,,202408,August 2024,202408,,635.0,608.0,0.0,450.0,185.0,399.0,1
MOH - Uganda,Ankole,Mitooma District,FLygHiUd2UW,Mitooma District,,,202401,January 2024,202401,,770.0,759.0,,669.0,252.0,0.0,352
MOH - Uganda,Ankole,Mitooma District,FLygHiUd2UW,Mitooma District,,,202402,February 2024,202402,,752.0,815.0,,711.0,269.0,0.0,0
MOH - Uganda,Ankole,Mitooma District,FLygHiUd2UW,Mitooma District,,,202403,March 2024,202403,,718.0,739.0,,668.0,292.0,97.0,47
MOH - Uganda,Ankole,Mitooma District,FLygHiUd2UW,Mitooma District,,,202404,April 2024,202404,,838.0,805.0,,700.0,335.0,69.0,2244
MOH - Uganda,Ankole,Mitooma District,FLygHiUd2UW,Mitooma District,,,202405,May 2024,202405,,771.0,841.0,0.0,743.0,247.0,90.0,17
MOH - Uganda,Ankole,Mitooma District,FLygHiUd2UW,Mitooma District,,,202406,June 2024,202406,,747.0,764.0,,773.0,271.0,298.0,48
MOH - Uganda,Ankole,Mitooma District,FLygHiUd2UW,Mitooma District,,,202407,July 2024,202407,,793.0,746.0,,762.0,366.0,296.0,47
MOH - Uganda,Ankole,Mitooma District,FLygHiUd2UW,Mitooma District,,,202408,August 2024,202408,,777.0,763.0,,884.0,505.0,354.0,44
MOH - Uganda,Ankole,Ntungamo District,hAoe9dhZh9V,Ntungamo District,,,202401,January 2024,202401,,1808.0,1615.0,0.0,1638.0,279.0,101.0,4
MOH - Uganda,Ankole,Ntungamo District,hAoe9dhZh9V,Ntungamo District,,,202402,February 2024,202402,,1537.0,1508.0,0.0,1508.0,337.0,209.0,1
MOH - Uganda,Ankole,Ntungamo District,hAoe9dhZh9V,Ntungamo District,,,202403,March 2024,202403,,1581.0,1628.0,1.0,1478.0,342.0,224.0,0
MOH - Uganda,Ankole,Ntungamo District,hAoe9dhZh9V,Ntungamo District,,,202404,April 2024,202404,,1609.0,1531.0,30.0,1584.0,327.0,15.0,3748
MOH - Uganda,Ankole,Ntungamo District,hAoe9dhZh9V,Ntungamo District,,,202405,May 2024,202405,,1677.0,1648.0,2.0,1679.0,476.0,92.0,48
MOH - Uganda,Ankole,Ntungamo District,hAoe9dhZh9V,Ntungamo District,,,202406,June 2024,202406,,1740.0,1684.0,0.0,1549.0,442.0,96.0,213
MOH - Uganda,Ankole,Ntungamo District,hAoe9dhZh9V,Ntungamo District,,,202407,July 2024,202407,,1842.0,1752.0,0.0,1659.0,649.0,97.0,0
MOH - Uganda,Ankole,Ntungamo District,hAoe9dhZh9V,Ntungamo District,,,202408,August 2024,202408,,1658.0,1692.0,2.0,1546.0,427.0,556.0,1
MOH - Uganda,Ankole,Rubirizi District,fS71jg1WYPk,Rubirizi District,,,202401,January 2024,202401,,667.0,641.0,,521.0,167.0,25.0,19
MOH - Uganda,Ankole,Rubirizi District,fS71jg1WYPk,Rubirizi District,,,202402,February 2024,202402,,547.0,538.0,,423.0,96.0,10.0,54
MOH - Uganda,Ankole,Rubirizi District,fS71jg1WYPk,Rubirizi District,,,202403,March 2024,202403,,538.0,554.0,,499.0,56.0,100.0,109
MOH - Uganda,Ankole,Rubirizi District,fS71jg1WYPk,Rubirizi District,,,202404,April 2024,202404,,475.0,510.0,,428.0,135.0,99.0,924
MOH - Uganda,Ankole,Rubirizi District,fS71jg1WYPk,Rubirizi District,,,202405,May 2024,202405,,498.0,489.0,,453.0,175.0,5.0,51
MOH - Uganda,Ankole,Rubirizi District,fS71jg1WYPk,Rubirizi District,,,202406,June 2024,202406,,524.0,495.0,,494.0,197.0,129.0,61
MOH - Uganda,Ankole,Rubirizi District,fS71jg1WYPk,Rubirizi District,,,202407,July 2024,202407,,518.0,568.0,0.0,605.0,233.0,168.0,191
MOH - Uganda,Ankole,Rubirizi District,fS71jg1WYPk,Rubirizi District,,,202408,August 2024,202408,,463.0,491.0,,482.0,425.0,206.0,34
MOH - Uganda,Ankole,Rwampara District,tsugXWRXwGu,Rwampara District,,,202401,January 2024,202401,,619.0,560.0,0.0,620.0,95.0,19.0,9
MOH - Uganda,Ankole,Rwampara District,tsugXWRXwGu,Rwampara District,,,202402,February 2024,202402,,553.0,496.0,0.0,457.0,174.0,0.0,17
MOH - Uganda,Ankole,Rwampara District,tsugXWRXwGu,Rwampara District,,,202403,March 2024,202403,,512.0,522.0,0.0,418.0,127.0,15.0,0
MOH - Uganda,Ankole,Rwampara District,tsugXWRXwGu,Rwampara District,,,202404,April 2024,202404,,587.0,608.0,0.0,594.0,133.0,53.0,2921
MOH - Uganda,Ankole,Rwampara District,tsugXWRXwGu,Rwampara District,,,202405,May 2024,202405,,633.0,574.0,0.0,563.0,168.0,173.0,4
MOH - Uganda,Ankole,Rwampara District,tsugXWRXwGu,Rwampara District,,,202406,June 2024,202406,,578.0,617.0,0.0,573.0,163.0,1.0,1
MOH - Uganda,Ankole,Rwampara District,tsugXWRXwGu,Rwampara District,,,202407,July 2024,202407,,616.0,607.0,0.0,527.0,234.0,206.0,0
MOH - Uganda,Ankole,Rwampara District,tsugXWRXwGu,Rwampara District,,,202408,August 2024,202408,,577.0,559.0,4.0,525.0,265.0,169.0,0
MOH - Uganda,Ankole,Sheema District,xAJgEKKAeRA,Sheema District,,,202401,January 2024,202401,,739.0,673.0,0.0,738.0,179.0,57.0,2
MOH - Uganda,Ankole,Sheema District,xAJgEKKAeRA,Sheema District,,,202402,February 2024,202402,,729.0,671.0,0.0,716.0,140.0,17.0,2
MOH - Uganda,Ankole,Sheema District,xAJgEKKAeRA,Sheema District,,,202403,March 2024,202403,,689.0,744.0,0.0,675.0,109.0,10.0,0
MOH - Uganda,Ankole,Sheema District,xAJgEKKAeRA,Sheema District,,,202404,April 2024,202404,,772.0,688.0,0.0,727.0,2242.0,0.0,3242
MOH - Uganda,Ankole,Sheema District,xAJgEKKAeRA,Sheema District,,,202405,May 2024,202405,,722.0,725.0,0.0,724.0,159.0,27.0,7
MOH - Uganda,Ankole,Sheema District,xAJgEKKAeRA,Sheema District,,,202406,June 2024,202406,,703.0,768.0,0.0,713.0,232.0,9.0,12
